airport_name;airport_code;country_code;city_code;lat;lon;
Aeropuerto Regional de Killeen-Fort Hood ;GRK;US;ILE;31.061.821;-97.820.915;
Norsup Airport;NUS;VU;NUS;-16.058.332;167.4;
Suceava Airport;SCV;RO;SCV;47.689.445;26.356.112;
Graciosa Island Airport;GRW;PT;GRW;39.090.954;-28.027.958;
Kuujjuarapik Airport;YGW;CA;YGW;55.279.167;-7.776.667;
Klagenfurt Airport;KLU;AT;KLU;46.650.124;14.324.192;
Aupaluk Airport;YPJ;CA;YPJ;59.3;-69.666.664;
Kamloops Airport;YKA;CA;YKA;5.070.545;-120.442.024;
Miho Airport;YGJ;JP;YGJ;35.500.652;13.324.448;
Coxs Bazar Airport;CXB;BD;CXB;21.45;9.196.667;
Sydney (Kingsford Smith) Airport;SYD;AU;SYD;-33.932.922;1.511.799;
Wichita Dwight D. Eisenhower National Airport;ICT;US;ICT;37.653.046;-97.428.955;
Inhambane Airport;INH;MZ;INH;-23.874.443;35.408.333;
Nalchik Airport;NAL;RU;NAL;43.533.333;43.7;
DeKalb Peachtree Airport;PDK;US;ATL;3.388.333;-84.25;
Nalati Airport;NLT;CN;NLT;4.343.222;83.382.225;
Taitung Airport;TTT;TW;TTT;22.75;121.1;
Santiago Marino International Airport;PMV;VE;PMV;10.917.189;-6.396.899;
Lleida-Alguaire Airport;ILD;ES;ILD;41.728.836;0.543302;
Saransk Airport;SKX;RU;SKX;54.166.668;45.166.668;
DuPage Airport;DPA;US;CHI;41.914.444;-8.824.639;
Tapachula International Airport;TAP;MX;TAP;14.909.722;-9.225.306;
Cairns Airport;CNS;AU;CNS;-16.876.537;14.575.404;
Bacau Airport;BCM;RO;BCM;4.659.861;26.881.945;
La Florida Airport;LSC;CL;LSC;-29.917.297;-7.120.369;
Lien Khuong Airport;DLI;VN;DLI;11.749.689;10.837.603;
Lyon Saint-Exupery International Airport;LYS;FR;LYS;45.721.424;5.080.334;
Shanghai Pudong International Airport;PVG;CN;SHA;31.151.825;121.799.805;
Ajaccio Napoleon Bonaparte Airport;AJA;FR;AJA;4.191.987;8.794.013;
Grand Island Airport;GRI;US;GRI;4.096.722;-9.830.666;
Ilulissat Airport;JAV;GL;JAV;6.923.444;-5.105.111;
Ardabil Airport;ADU;IR;ADU;38.323.826;4.842.125;
Lafayette Regional Airport;LFT;US;LFT;3.020.851;-9.199.327;
Khujand Airport;LBD;TJ;LBD;40.219.887;696.965;
Kidjang Airport;TNJ;ID;TNJ;0.919167;10.453.611;
Rhodes Airport;RHO;GR;RHO;36.401.867;28.090.677;
Dothan Regional Airport;DHN;US;DHN;31.32;-8.544.833;
Dushanbe Airport;DYU;TJ;DYU;3.854.894;6.881.728;
Fes-Saiss Airport;FEZ;MA;FEZ;3.393.079;-4.982.138;
Kasane Airport;BBK;BW;BBK;-17.816.668;25.15;
Havryshivka Vinnytsia International Airport;VIN;UA;VIN;49.233.334;28.483.334;
Bromma Airport;BMA;SE;STO;5.935.566;1.794.608;
Kithira Airport;KIT;GR;KIT;36.291.668;23.025;
Naga Airport;WNP;PH;WNP;13.587.222;123.27;
Whitehorse Airport;YXY;CA;YXY;60.716.667;-13.506.667;
Sege Airport;EGM;SB;EGM;-8.577.956;15.787.506;
San Luis Potosi Airport;SLP;MX;SLP;22.255.466;-100.936.806;
Yellowknife Airport;YZF;CA;YZF;62.470.867;-1.144.375;
Arxan Yiershi Airport;YIE;CN;YIE;47.31;119.910.835;
Plettenberg Bay Airport;PBZ;ZA;PBZ;-340.875;23.329.166;
Guiyang Longdongbao International Airport;KWE;CN;KWE;26.544.216;10.679.598;
Apartado Airport;APO;CO;APO;7.817.678;-7.671.766;
Tirupati Airport;TIR;IN;TIR;13.635.721;7.954.293;
Zafer Airport;KZR;TR;KZR;39.120.277;30.116.945;
Churchill Airport;YYQ;CA;YYQ;5.874.819;-9.407.449;
Haikou Airport;HAK;CN;HAK;19.941.612;11.045.717;
El Loa Airport;CJC;CL;CJC;-22.495.085;-6.890.843;
Prescott Airport;PRC;US;PRC;34.65;-112.424.164;
Taree Airport;TRO;AU;TRO;-31.890.272;15.250.896;
Saidpur Airport;SPD;BD;SPD;25.783.333;88.9;
Tepic Airport;TPQ;MX;TPQ;21.5;-104.9;
Makkovik Airport;YMN;CA;YMN;55.166.668;-59.166.668;
Lhasa Gonggar Airport;LXA;CN;LXA;2.929.305;9.090.051;
C.F. Secada Vignetta International Airport;IQT;PE;IQT;-3.785.098;-7.330.284;
Baden-Airpark;FKB;DE;FKB;48.781.033;8.089.752;
Lamezia Terme International Airport;SUF;IT;SUF;38.910.015;16.244.972;
Paros Airport;PAS;GR;PAS;37.066.666;25.1;
Qingdao Liuting International Airport;TAO;CN;TAO;36.265.884;12.038.236;
Chuuk International Airport;TKK;FM;TKK;7.457.446;15.184.201;
Chamonate Airport;CPO;CL;CPO;-2.729.892;-70.414.406;
Round Lake Airport;ZRJ;CA;ZRJ;52.95;-91.316.666;
Altoona Airport;AOO;US;AOO;40.297.222;-78.32;
Girona-Costa Brava Airport;GRO;ES;GRO;4.189.804;2.766.383;
Krasnodar International Airport;KRR;RU;KRR;45.034.138;39.139.004;
Kirkenes Airport; Hoeybuktmoen;KKN;NO;KKN;697.235;airport
Almeria Airport;LEI;ES;LEI;36.847.984;-2.371.873;
Chios Airport;JKH;GR;JKH;38.345.795;26.142.336;
Ljubljana Joze Pucnik Airport;LJU;SI;LJU;4.623.102;14.454.972;
Tahiti Faa'a Airport;PPT;PF;PPT;-1.755.963;-14.960.938;
Vaclav Havel Airport Prague;PRG;CZ;PRG;5.010.619;14.266.638;
Capitan FAP Pedro Canga Rodriguez Airport;TBP;PE;TBP;-3.566.667;-80.416.664;
Guang Yuan Airport;GYS;CN;GYS;32.395;10.569.972;
Baghdad International Airport;BGW;IQ;BGW;33.255.554;44.225;
General Mitchell International Airport;MKE;US;MKE;42.948.093;-8.790.267;
Valdosta Regional Airport;VLD;US;VLD;3.078.389;-8.327.722;
